# ID   Z    G      R      I     
  8      0.0    -15.4864   -16.307    -16.6298  
  8      0.02   19.1208    18.2578    17.9365   
  8      0.04   20.7179    19.8137    19.4908   
  8      0.06   21.6877    20.7473    20.4175   
  8      0.08   22.408     21.4308    21.0855   
  8      0.1    22.9972    21.9773    21.6131   
  8      0.12   23.5036    22.4324    22.0526   
  8      0.14   23.9591    22.8236    22.4267   
  8      0.16   24.3742    23.1716    22.7548   
  8      0.18   24.7571    23.4835    23.0439   
  8      0.2    25.1167    23.7677    23.3076   
  8      0.22   25.4431    24.0313    23.5544   
  8      0.24   25.7422    24.2761    23.7826   
  8      0.26   26.0189    24.5081    23.9974   
  8      0.28   26.2857    24.731     24.2013   
  8      0.3    26.5497    24.9477    24.3972   
  8      0.32   26.8068    25.1573    24.5902   
  8      0.34   27.0623    25.3527    24.775    
  8      0.36   27.2913    25.5345    24.9479   
  8      0.38   27.4889    25.7128    25.1146   
  8      0.4    27.6707    25.8881    25.2736   
  8      0.42   27.8489    26.0707    25.4231   
  8      0.44   28.0318    26.2556    25.5653   
  8      0.46   28.2108    26.4439    25.7034   
  8      0.48   28.3978    26.6297    25.8378   
  8      0.5    28.5665    26.8139    25.9672   
  8      0.52   28.7225    26.9949    26.0944   
  8      0.54   28.8863    27.1759    26.2227   
  8      0.56   29.05      27.3535    26.3528   
  8      0.58   29.2054    27.5228    26.4842   
  8      0.6    29.3541    27.6846    26.617    
  8      0.62   29.5076    27.8368    26.7449   
  8      0.64   29.6716    27.9831    26.867    
  8      0.66   29.8366    28.1321    26.988    
  8      0.68   29.9863    28.28      27.1083   
  8      0.7    30.1313    28.4282    27.2293   
  8      0.72   30.2769    28.5755    27.356    
  8      0.74   30.4255    28.7217    27.4915   
  8      0.76   30.5698    28.8526    27.6284   
  8      0.78   30.7084    28.9687    27.7656   
  8      0.8    30.84      29.0809    27.9029   
  8      0.82   30.9648    29.1825    28.0398   
  8      0.84   31.0885    29.2863    28.1745   
  8      0.86   31.211     29.3918    28.3042   
  8      0.88   31.3155    29.4951    28.4305   
  8      0.9    31.4051    29.6057    28.5546   
  8      0.92   31.4835    29.7141    28.6779   
  8      0.94   31.5533    29.813     28.7937   
  8      0.96   31.6249    29.9143    28.9007   
  8      0.98   31.6972    30.0246    29.0092   
  8      1.0    31.7726    30.1375    29.1227   
  8      1.02   31.8548    30.2454    29.2338   
  8      1.04   31.9373    30.35      29.3399   
  8      1.06   32.0059    30.4509    29.4418   
  8      1.08   32.0645    30.5501    29.5419   
  8      1.1    32.1208    30.6534    29.6416   
  8      1.12   32.1731    30.7619    29.7369   
  8      1.14   32.2207    30.8711    29.8236   
  8      1.16   32.2654    30.9756    29.9041   
  8      1.18   32.3095    31.0772    29.9799   
  8      1.2    32.356     31.1815    30.0552   
  8      1.22   32.4007    31.2872    30.1357   
  8      1.24   32.4403    31.3911    30.2178   
  8      1.26   32.4762    31.4932    30.2977   
  8      1.28   32.5117    31.5928    30.3791   
  8      1.3    32.5474    31.6896    30.4623   
  8      1.32   32.583     31.7858    30.5427   
  8      1.34   32.6211    31.8806    30.6185   
  8      1.36   32.6611    31.9753    30.6941   
  8      1.38   32.7009    32.0718    30.7768   
  8      1.4    32.7397    32.1676    30.8659   
  8      1.42   32.7783    32.2537    30.9562   
  8      1.44   32.8171    32.3257    31.0447   
  8      1.46   32.8563    32.3894    31.1312   
  8      1.48   32.8951    32.4474    31.2154   
  8      1.5    32.9334    32.4984    31.2999   
  8      1.52   32.9706    32.5471    31.3849   
  8      1.54   33.0073    32.5954    31.4691   
  8      1.56   33.0443    32.6444    31.5532   
  8      1.58   33.082     32.6941    31.6363   
  8      1.6    33.1194    32.7489    31.7178   
  8      1.62   33.1556    32.8052    31.7992   
  8      1.64   33.1907    32.8573    31.8801   
  8      1.66   33.2249    32.9011    31.9598   
  8      1.68   33.2578    32.9392    32.0394   
  8      1.7    33.2895    32.9758    32.1198   
  8      1.72   33.3205    33.0125    32.2021   
  8      1.74   33.351     33.0455    32.2845   
  8      1.76   33.3807    33.074     32.3636   
  8      1.78   33.4093    33.1016    32.4378   
  8      1.8    33.4367    33.1298    32.5084   
  8      1.82   33.4632    33.1585    32.5783   
  8      1.84   33.4895    33.1874    32.6493   
  8      1.86   33.5163    33.2156    32.721    
  8      1.88   33.5433    33.2424    32.7925   
  8      1.9    33.5696    33.2671    32.8611   
  8      1.92   33.5946    33.291     32.9235   
  8      1.94   33.6192    33.3154    32.9792   
  8      1.96   33.6448    33.3399    33.0292   
  8      1.98   33.6717    33.364     33.0744   
  8      2.0    33.6991    33.3883    33.1158   
  8      2.02   33.7258    33.4138    33.1544   
  8      2.04   33.7516    33.4404    33.1919   
  8      2.06   33.7775    33.467     33.2281   
  8      2.08   33.8034    33.4923    33.2628   
  8      2.1    33.8292    33.517     33.2969   
  8      2.12   33.8542    33.5418    33.331    
  8      2.14   33.8789    33.567     33.3663   
  8      2.16   33.9038    33.5924    33.4026   
  8      2.18   33.9297    33.6178    33.4377   
  8      2.2    33.9564    33.6433    33.4689   
  8      2.22   33.9836    33.6692    33.4956   
  8      2.24   34.0109    33.6949    33.5194   
  8      2.26   34.0382    33.7204    33.542    
  8      2.28   34.066     33.7459    33.5641   
  8      2.3    34.0949    33.771     33.5856   
  8      2.32   34.1252    33.7958    33.6063   
  8      2.34   34.1572    33.8204    33.6267   
  8      2.36   34.1908    33.8445    33.647    
  8      2.38   34.2247    33.8678    33.6674   
  8      2.4    34.2577    33.8907    33.6879   
  8      2.42   34.2889    33.9134    33.7085   
  8      2.44   34.3185    33.9359    33.729    
  8      2.46   34.3488    33.958     33.7492   
  8      2.48   34.3781    33.9797    33.769    
  8      2.5    34.4069    34.0011    33.7885   
  8      2.52   34.4354    34.023     33.8081   
  8      2.54   34.4644    34.045     33.828    
  8      2.56   34.4967    34.0668    33.848    
  8      2.58   34.5277    34.0883    33.8679   
  8      2.6    34.5599    34.1095    33.8876   
  8      2.62   34.5928    34.1305    33.9072   
  8      2.64   34.6258    34.1515    33.9274   
  8      2.66   34.6628    34.1723    33.9485   
  8      2.68   34.6955    34.1925    33.9704   
  8      2.7    34.729     34.212     33.9926   
  8      2.72   34.7639    34.2308    34.0142   
  8      2.74   34.7995    34.2485    34.0346   
  8      2.76   34.8409    34.2653    34.0538   
  8      2.78   34.8762    34.2818    34.0723   
  8      2.8    34.9114    34.2982    34.0904   
  8      2.82   34.9465    34.3151    34.1086   
  8      2.84   34.9817    34.3325    34.1277   
  8      2.86   35.0253    34.3501    34.1475   
  8      2.88   35.0613    34.3676    34.1674   
  8      2.9    35.0983    34.3847    34.1869   
  8      2.92   35.1366    34.4014    34.206    
  8      2.94   35.1761    34.4178    34.2248   
  8      2.96   35.2271    34.4342    34.2436   
  8      2.98   35.2682    34.4506    34.2623   
  8      3.0    35.3094    34.4668    34.2811   
  9      0.0    -15.4549   -16.2403   -16.5504  
  9      0.02   19.1486    18.3229    18.0146   
  9      0.04   20.7422    19.8771    19.5677   
  9      0.06   21.7088    20.809     20.4931   
  9      0.08   22.4257    21.4906    21.1598   
  9      0.1    23.0115    22.035     21.6862   
  9      0.12   23.5139    22.488     22.1244   
  9      0.14   23.9654    22.8773    22.4973   
  9      0.16   24.3761    23.2232    22.8239   
  9      0.18   24.7542    23.5331    23.1116   
  9      0.2    25.1088    23.8151    23.3739   
  9      0.22   25.431     24.0764    23.6192   
  9      0.24   25.7262    24.3188    23.8461   
  9      0.26   25.9995    24.5483    24.0594   
  9      0.28   26.2633    24.7686    24.2619   
  9      0.3    26.524     24.9826    24.4562   
  9      0.32   26.7765    25.1891    24.6475   
  9      0.34   27.0275    25.3815    24.8305   
  9      0.36   27.2528    25.5607    25.0015   
  9      0.38   27.4481    25.7362    25.1664   
  9      0.4    27.6284    25.9087    25.3236   
  9      0.42   27.8047    26.0881    25.4715   
  9      0.44   27.9837    26.2693    25.6119   
  9      0.46   28.1574    26.4537    25.7481   
  9      0.48   28.337     26.6358    25.8806   
  9      0.5    28.4991    26.8162    26.0079   
  9      0.52   28.6492    26.9939    26.133    
  9      0.54   28.8058    27.1715    26.2592   
  9      0.56   28.9619    27.3459    26.387    
  9      0.58   29.1102    27.5122    26.5161   
  9      0.6    29.252     27.6712    26.6462   
  9      0.62   29.3977    27.821     26.7713   
  9      0.64   29.5515    27.9655    26.8907   
  9      0.66   29.7053    28.1126    27.0092   
  9      0.68   29.8453    28.2585    27.127    
  9      0.7    29.9809    28.404     27.2449   
  9      0.72   30.1166    28.5486    27.3687   
  9      0.74   30.2541    28.6924    27.501    
  9      0.76   30.3873    28.8208    27.6345   
